id,text,label,Comments
198,RT @anonymized_account mam sliczne imiona dla swoich dzieci ale nie mam dzieci,0.0,
199,@anonymized_account Powiedz mi czy będzie Ci się podobał,0.0,
201,asocjacja intymna z księdzem Rydzykiem,0.0,
203,@anonymized_account @anonymized_account Jak będziesz chciał fotke czegoś z nowego FMa to daj znać :),0.0,
204,"@anonymized_account @anonymized_account @anonymized_account @anonymized_account Gdybyśmy nie mieli Guilherme, to jak najbardziej.",0.0,
205,Ten przyglup jeszcze uruchomi slużby na Ryharda i biedak pójdzie siedzieć,1.0,
208,"@anonymized_account @anonymized_account @anonymized_account Jak się zapisałem, wojna nie będzie latwa, swoich napierdalać żeby dotrzeć do jądra",0.0,
209,"@anonymized_account W makroregionie rok temu ich nie było w ogóle, więc mi trudno stwierdzić.",0.0,
210,"@anonymized_account Rozumiem, że ten gif jest adekwatny do poziomu Pana intelektu. Gratuluję.",0.0,
211,@anonymized_account @anonymized_account @anonymized_account Potrzebne błyskawiczne decyzje bo do 1/06 kilka dni.,0.0,
212,@anonymized_account @anonymized_account @anonymized_account A kiedy ty zdasz egzamin na zwrot ukradzionej kasy za kilometrówki?,1.0,
213,Préstamo a un año con opción de compra para Ever Valencia y Cristian Echavarria al Wisla Cracovia de Polonia\n@anonymized_account,0.0,
216,"@anonymized_account Oczywiście, że można, ale potrzeba porządnego trenera i tu jest problem, a nie w Messim.",0.0,
217,"@anonymized_account Wiem, ale bym chciała dziś/jutro 😀",0.0,
219,Nie ma idoli a jak już są to nie ze śmietniska @anonymized_account myślcie trochę,0.0,
220,"@anonymized_account @anonymized_account Pewnie chodzi o to, że nie mówisz też \""Tatrów\"" :D",0.0,
222,"@anonymized_account @anonymized_account Naprawdę mam odpowiadać na pytanie, po co drużynie trzeci bramkarz?",0.0,
224,@anonymized_account @anonymized_account @anonymized_account York czy Leszek Miller? :),0.0,
227,"@anonymized_account Albo \""Głupi ma zawsze szczęście\"". Do wyboru 😁",0.0,
229,RT @anonymized_account @anonymized_account Nieudaczników ? A jak tam kariera dziennikarska po odcięciu pieniążków publicznych ?,0.0,
231,@anonymized_account @anonymized_account @anonymized_account @anonymized_account @anonymized_account Nie wszystko zależy od czasu :P,0.0,
236,"@anonymized_account Musiał jest na poziomie Gila, ale jest medialny i sympatyczny dlatego jest kreowany na jednego z najlepszych w Polsce.",0.0,
237,@anonymized_account @anonymized_account Przynajmniej możemy wspominać legendy. A kto u was jest legendą ? Cabaj ? 😂,0.0,
240,@anonymized_account wcześniej spamowałeś Cierzniakiem to się teraz nie dziw,0.0,
241,@anonymized_account A to nie prawda honor ponad życie,0.0,
242,@anonymized_account ale jednak dwie godziny drogi,0.0,
243,@anonymized_account @anonymized_account Polacy katolicy są niezastąpieni w swojej wredności i załganiu.,1.0,
244,@anonymized_account O jakiej większości mówimy mistrzu..?,0.0,
246,@anonymized_account Razem z I rundą w środę.,0.0,
247,Settings/upnp/dlna renderers/ ffmpeg/all audio formats i gra,0.0,
250,RT @anonymized_account @anonymized_account wszystkiego najlepszego❣ spełnienia najskrytszych marzeń 🎂🎁🎈🎉,0.0,
253,@anonymized_account @anonymized_account Czekam z utęsknieniem na delegalizację ONRu,0.0,
256,@anonymized_account @anonymized_account @anonymized_account @anonymized_account @anonymized_account Czasem spokojny czasem nie 😂,0.0,
257,@anonymized_account @anonymized_account bo może nikogo to nie interesowało,0.0,
258,@anonymized_account Komentarz raz a dwa słysząc trybuny zastanawiam się czy ten kto wymyślił mecze w pn obejrzał choć jeden,0.0,
259,@anonymized_account Ja bym był ostrożny😁😁😁A jak ma na imię?,0.0,
261,"@anonymized_account @anonymized_account Bo tym co przeżył, już nic go nie zabije",0.0,
262,"@anonymized_account Brakuje tlenu, mi brakuje odkąd pis przejął władzę",0.0,
264,@anonymized_account @anonymized_account @anonymized_account @anonymized_account @anonymized_account A to juz jego ryzyko,0.0,
270,"@anonymized_account To, że reprezentacja to nie miejsce do tego.",0.0,
272,@anonymized_account Ps ktoś podobno zadzwonił i faktycznie ten facet odebrał  😂,0.0,
273,97 proc. badanych Polaków odczuwa dumę ze swojego pochodzenia narodowego\n#wieszwiecej \nhttps://t.co/gHayIECObt,0.0,
274,@anonymized_account @anonymized_account @anonymized_account rodzice to pewnie kibice Ruchu więc to nic dziwnego.A debiut Bargiela rzeczywiście bardzo dobry.,0.0,
276,"Chcesz obywatelstwo Niemieckie, nie pierdolą o wielkości narodu, a o trójpodziale władzy, obowiązkowy kurs",0.0,
277,"sędziów wściekła i zła kasta, chyba zaraz się pochlasta",1.0,
278,@anonymized_account @anonymized_account Zgadza się ale przecież nas niestac żeby komin płacowy zacząć od.carlitosa,0.0,
279,"@anonymized_account jutro walka💪 pokażcie \""ekspertom\"" co znaczy Wisła :)",0.0,
281,"RT @anonymized_account chciałabym, żeby chociaż napisał \""jak się czujesz?\"" i mean, wystarczą mi tylko te trzy cholerne słowa, czy proszę o tak wiele?",0.0,
283,Nieodwracalne zmiany wykonawcy Kaliber 44\nhttps://t.co/OTQBfQnGRz,0.0,
284,@anonymized_account Poczytaj kobieto coś z historii to się dowiesz kto był Targowicą. Bo na razie robisz z siebie idiotkę.,1.0,
285,"@anonymized_account Dowcip brudny, jak podłoga w Ulubionej przed 5:00 z soboty na niedzielę.",0.0,
287,@anonymized_account @anonymized_account Eeee!!  #Tok FM więcej wiary w swój elektorat!😁😁,0.0,
288,"Z zastrzeżeniem, że nie pamiętam, czy brał udział przy trzeciej i czwartej bramce z Argentyną 😛",0.0,
292,"@anonymized_account @anonymized_account Wy pierdolicie o jakimś albumie a ja już miałam nadzieję, że umrę w wakacje :(",0.0,
293,A jednak. Paulinho wypożyczony z opcją obowiązkowego wykupu. Ponoć za 50 baniek. No nieźle.,0.0,
294,"@anonymized_account gdzie studiujesz? bo ja już dwie osoby znalazłam po tym tweecie, które studiują tam gdzie ja",0.0,
